mes,dia,cantidad
1,1,4
1,2,6
1,3,16
1,4,5
1,6,1
1,7,1
1,9,3
1,10,1
1,13,9
1,14,12
1,15,9
1,16,11
1,17,9
1,19,1
1,20,13
1,21,4
1,22,6
1,23,3
1,24,7
1,27,31
1,28,5
1,29,12
1,30,11
1,31,11
2,1,1
2,3,4
2,4,6
2,5,9
2,6,31
2,7,7
2,8,6
2,9,3
2,10,19
2,11,8
2,12,6
2,13,12
2,14,14
2,15,5
2,17,12
2,18,4
2,19,9
2,20,14
2,21,15
2,22,6
2,24,33
2,25,11
2,26,19
2,27,16
2,28,7
3,1,5
3,4,1
3,5,10
3,6,10
3,7,16
3,8,7
3,9,3
3,10,12
3,11,6
3,12,12
3,13,9
3,14,14
3,15,12
3,16,2
3,17,9
3,18,17
3,19,9
3,20,23
3,21,7
3,22,4
3,24,3
3,25,21
3,26,22
3,27,15
3,28,20
3,29,5
3,31,31
4,1,17
4,2,2
4,3,13
4,4,10
4,5,8
4,7,16
4,8,15
4,9,10
4,10,2
4,11,20
4,12,9
4,14,19
4,15,19
4,16,23
4,17,9
4,19,3
4,20,2
4,21,14
4,22,10
4,23,3
4,24,13
4,25,9
4,26,1
4,28,16
4,29,21
4,30,11
5,2,4
5,3,11
5,5,16
5,6,27
5,7,15
5,8,18
5,9,11
5,10,3
5,12,9
5,13,10
5,14,16
5,15,14
5,16,25
5,17,5
5,19,15
5,20,13
5,21,6
5,22,7
5,23,7
5,24,2
5,25,1
5,26,15
5,27,15
5,28,21
5,29,27
5,30,10
5,31,2
6,1,3
6,2,13
6,3,9
6,4,18
6,5,19
6,6,16
6,9,15
6,10,17
6,11,6
6,12,8
6,13,8
6,14,8
6,15,1
6,16,15
6,17,7
6,18,10
6,19,23
6,20,1
6,21,5
6,23,12
6,24,11
6,25,18
6,26,23
6,27,9
6,28,2
6,30,18
7,1,8
7,2,20
7,3,17
7,4,17
7,5,4
7,7,9
7,8,6
7,10,5
7,11,17
7,12,7
7,14,9
7,15,3
7,16,3
7,17,11
7,18,8
7,19,2
7,21,18
7,22,6
7,23,10
7,24,5
7,25,4
7,26,6
7,27,2
7,28,12
7,29,18
7,30,13
7,31,36
8,1,10
8,2,3
8,3,1
8,4,22
8,5,16
8,6,13
8,7,15
8,8,8
8,9,7
8,10,1
8,11,10
8,12,8
8,13,10
8,14,7
8,15,4
8,16,8
8,18,1
8,19,19
8,20,9
8,21,4
8,22,7
8,23,5
8,25,12
8,26,18
8,27,6
8,28,16
8,29,40
8,30,2
9,1,12
9,2,22
9,3,7
9,4,13
9,5,9
9,6,5
9,8,13
9,9,10
9,10,4
9,11,7
9,12,9
9,15,5
9,16,21
9,17,7
9,18,9
9,19,7
9,20,5
9,22,13
9,23,7
9,24,6
9,25,14
9,26,13
9,27,1
9,28,2
9,29,3
9,30,32
10,1,9
10,2,12
10,3,8
10,4,2
10,6,13
10,7,17
10,8,27
10,9,33
10,10,10
10,11,5
10,14,11
10,15,9
10,16,11
10,17,13
10,18,6
10,20,13
10,21,13
10,22,5
10,23,11
10,24,5
10,25,4
10,27,11
10,28,30
10,29,12
10,30,13
10,31,13
11,1,4
11,3,19
11,4,25
11,5,13
11,6,4
11,7,7
11,8,4
11,10,10
11,11,15
11,12,9
11,13,8
11,14,4
11,15,2
11,16,1
11,17,19
11,18,5
11,19,11
11,20,7
11,21,8
11,22,1
11,25,7
11,26,10
11,27,32
11,28,13
11,29,5
11,30,3
12,1,10
12,2,23
12,3,9
12,4,15
12,5,15
12,6,4
12,9,4
12,10,18
12,11,6
12,12,17
12,13,2
12,15,2
12,16,9
12,17,11
12,18,5
12,19,9
12,20,2
12,22,14
12,23,9
12,24,2
12,26,6
12,28,2
12,29,9
12,30,5
12,31,17
