mes;dia;cantidad
1;1;2
1;2;7
1;3;1
1;5;11
1;6;7
1;7;19
1;8;16
1;9;11
1;10;4
1;11;1
1;12;4
1;13;6
1;14;7
1;15;6
1;16;6
1;17;1
1;19;5
1;20;2
1;21;4
1;22;6
1;23;12
1;24;1
1;25;1
1;26;14
1;27;5
1;28;6
1;29;11
1;30;7
1;31;3
2;1;1
2;2;15
2;3;19
2;4;32
2;5;6
2;6;8
2;7;2
2;8;1
2;9;19
2;10;8
2;11;9
2;12;3
2;13;11
2;17;2
2;18;15
2;19;5
2;20;7
2;21;5
2;23;13
2;24;10
2;25;9
2;26;14
2;27;5
2;28;2
3;1;1
3;2;38
3;3;25
3;4;9
3;5;11
3;6;9
3;7;7
3;9;15
3;10;17
3;11;19
3;12;11
3;13;5
3;14;3
3;16;13
3;17;7
3;18;12
3;19;7
3;20;7
3;21;7
3;22;2
3;24;2
3;25;16
3;26;15
3;27;2
3;28;6
3;29;1
3;30;12
3;31;27
4;1;25
4;2;3
4;3;2
4;4;7
4;6;27
4;7;17
4;8;20
4;9;16
4;10;10
4;11;5
4;12;1
4;13;20
4;14;14
4;15;15
4;16;20
4;17;10
4;18;4
4;20;11
4;21;19
4;22;16
4;23;28
4;24;12
4;25;3
4;27;13
4;28;12
4;29;13
4;30;13
5;1;3
5;2;8
5;4;14
5;5;16
5;6;29
5;7;14
5;8;12
5;9;7
5;11;8
5;12;22
5;13;13
5;14;6
5;15;10
5;16;9
5;18;25
5;19;8
5;20;13
5;21;10
5;22;5
5;23;6
5;25;2
5;26;8
5;27;21
5;28;12
5;29;17
5;30;4
5;31;2
6;1;42
6;2;11
6;3;16
6;4;11
6;5;9
6;6;5
6;8;10
6;9;7
6;10;18
6;11;11
6;12;9
6;13;5
6;15;5
6;16;17
6;17;2
6;18;10
6;19;3
6;20;1
6;22;19
6;23;21
6;24;19
6;25;6
6;26;11
6;27;3
6;29;11
6;30;15
7;1;36
7;2;13
7;3;10
7;4;8
7;5;1
7;6;17
7;7;16
7;8;10
7;10;17
7;11;3
7;13;8
7;14;10
7;15;7
7;16;15
7;17;14
7;20;19
7;21;1
7;22;6
7;23;10
7;24;5
7;25;1
7;27;16
7;28;37
7;29;17
7;30;4
7;31;10
8;1;4
8;2;1
8;3;15
8;4;8
8;5;9
8;6;29
8;7;10
8;8;6
8;10;8
8;11;11
8;12;10
8;13;18
8;14;10
8;15;2
8;18;4
8;19;16
8;20;11
8;21;12
8;22;4
8;24;17
8;25;8
8;26;10
8;27;11
8;28;8
8;29;1
8;31;27
9;1;10
9;2;15
9;3;14
9;4;27
9;6;1
9;7;10
9;8;15
9;9;10
9;10;13
9;11;9
9;12;1
9;14;6
9;15;10
9;16;12
9;17;7
9;18;13
9;19;4
9;21;10
9;22;11
9;23;5
9;24;7
9;25;10
9;26;3
9;28;11
9;29;29
9;30;12
10;1;12
10;2;13
10;3;1
10;5;11
10;6;7
10;7;17
10;8;12
10;9;7
10;10;4
10;13;7
10;14;9
10;15;11
10;16;7
10;17;1
10;19;8
10;20;15
10;21;18
10;22;15
10;23;9
10;24;4
10;26;12
10;27;16
10;28;17
10;29;25
10;30;7
10;31;5
11;2;11
11;3;10
11;4;22
11;5;9
11;6;6
11;7;3
11;9;9
11;10;10
11;11;14
11;12;11
11;13;2
11;14;1
11;16;6
11;17;4
11;18;12
11;19;8
11;20;12
11;21;1
11;23;10
11;24;9
11;25;18
11;26;26
11;30;9
12;1;19
12;2;15
12;3;7
12;4;10
12;5;2
12;7;3
12;8;1
12;9;11
12;10;9
12;11;11
12;12;5
12;14;5
12;15;10
12;16;10
12;17;3
12;18;4
12;19;1
12;21;11
12;22;4
12;23;7
12;24;2
12;26;1
12;28;6
12;29;12
12;30;20
12;31;9
